"replicate","truepopsize","afpopsize","genopopsize","rarefreqcutoff","raregeno_mean","raregeno_sd","rarealleles_mean","rarealleles_sd","findgeno_mean","findgeno_sd","findalleles_mean","findalleles_sd"
25,20000,100,50,0.1,0.03476,0.00447469073153186,0.03476,0.00447469073153186,0.00304824561403509,0.00794643684988444,0.0921491228070175,0.0680074551935893
26,20000,100,50,0.1,0.03262,0.00483984314132732,0.03262,0.00483984314132732,0.00314285714285714,0.00808449796458045,0.0884395604395604,0.0657024677986609
27,20000,100,50,0.1,0.0326,0.00562429133857986,0.0326,0.00562429133857986,0.00336283185840708,0.00848273545685911,0.0927433628318584,0.0669903255785956
28,20000,100,50,0.1,0.03056,0.00520266807532835,0.03056,0.00520266807532835,0.00286659316427784,0.00822871578961277,0.0892171995589857,0.0665297507824037
29,20000,100,50,0.1,0.03494,0.00571217818278078,0.03494,0.00571217818278078,0.00282023681377826,0.00755803548383396,0.0934768568353068,0.0654828695059293
30,20000,100,50,0.1,0.03638,0.00592087279831931,0.03638,0.00592087279831931,0.0028695652173913,0.00789101138933142,0.0881521739130435,0.06363027981135
31,20000,100,50,0.1,0.03552,0.00480747716944073,0.03552,0.00480747716944073,0.00306167400881057,0.00828705944202812,0.0904185022026432,0.0652587164772238
32,20000,100,50,0.1,0.03492,0.00472440472440709,0.03492,0.00472440472440709,0.0029010989010989,0.00846536325438617,0.0889450549450549,0.0641675753460777
33,20000,100,50,0.1,0.03352,0.0053423223567345,0.03352,0.0053423223567345,0.00327832783278328,0.00846283550980259,0.0915951595159516,0.0678994707366975
34,20000,100,50,0.1,0.03262,0.00544692386506703,0.03262,0.00544692386506703,0.00269146608315098,0.00833177014122107,0.0886214442013129,0.0675406090144222
35,20000,100,50,0.1,0.0346,0.00551805940452228,0.0346,0.00551805940452228,0.0026304347826087,0.00778061175541175,0.0866304347826087,0.0630176439343459
36,20000,100,50,0.1,0.03524,0.00546812656796323,0.03524,0.00546812656796323,0.00261437908496732,0.00742284855656179,0.0890196078431373,0.066602530784756
37,20000,100,50,0.1,0.03386,0.0056856783918465,0.03386,0.0056856783918465,0.00298474945533769,0.00831638464333212,0.0905010893246187,0.0656779882832959
38,20000,100,50,0.1,0.03382,0.00565573575574173,0.03382,0.00565573575574173,0.0029295154185022,0.00812033864162501,0.0943832599118943,0.0705417266521282
39,20000,100,50,0.1,0.03342,0.00550357954018128,0.03342,0.00550357954018128,0.00265934065934066,0.00747304622003744,0.0892747252747253,0.0657036159359906
40,20000,100,50,0.1,0.03254,0.00570788927713213,0.03254,0.00570788927713213,0.00260964912280702,0.00759780971729621,0.08875,0.0671464395695823
41,20000,100,50,0.1,0.0339,0.00509201054874903,0.0339,0.00509201054874903,0.00297734627831715,0.00770560679658026,0.0912837108953614,0.0669803199880086
42,20000,100,50,0.1,0.0338,0.00615115718331742,0.0338,0.00615115718331742,0.00296132596685083,0.00787510685479126,0.0894585635359116,0.0639122280471584
43,20000,100,50,0.1,0.0342,0.0058970764115858,0.0342,0.0058970764115858,0.00248351648351648,0.00692464967339778,0.0886153846153846,0.0651414250965028
44,20000,100,50,0.1,0.03312,0.00611335106340948,0.03312,0.00611335106340948,0.00312568306010929,0.0083325668358852,0.0908196721311475,0.0677400524878164
45,20000,100,50,0.1,0.03466,0.00520835278907931,0.03466,0.00520835278907931,0.00279735682819383,0.00743177077288543,0.0902202643171806,0.0668816851567891
46,20000,100,50,0.1,0.03214,0.00496933453435022,0.03214,0.00496933453435022,0.00299003322259136,0.00817809728947124,0.0912513842746401,0.0656072262238111
47,20000,100,50,0.1,0.03356,0.00619466524931093,0.03356,0.00619466524931093,0.00270210409745293,0.00746067784932531,0.0879955703211517,0.0655749937321583
48,20000,100,50,0.1,0.03384,0.00603175271511743,0.03384,0.00603175271511743,0.00326710816777042,0.00876515954813767,0.0921633554083885,0.0656456233968399
